SampleID	Barcode	ReadsAccepted	ReadsFailed	Passed%
B001LS1		31840	51	99.8%
B002LS4		31809	73	99.8%
B003LS5		40749	46	99.9%
B004LW1		34649	51	99.9%
B005LW2		27489	48	99.8%
B006LW3		30162	72	99.8%
B007CiS1		36844	53	99.9%
B008CiS4		50733	95	99.8%
B009CiS5		41129	64	99.8%
B010CiW1		33698	43	99.9%
B011CiW2		32468	51	99.8%
B012CiW3		42764	85	99.8%
B013ArS3		44513	69	99.8%
B014ArS4		51988	76	99.9%
B015ArS5		41247	84	99.8%
B016ArW1		37328	60	99.8%
B017ArW2		29785	77	99.7%
B018ArW3		48103	66	99.9%
B019PhS3		46834	52	99.9%
B020PhS4		38839	55	99.9%
B021PhS5		48308	75	99.8%
B022PhW1		48021	114	99.8%
B023PhW2		25167	66	99.7%
B024PhW3		145385	226	99.8%
B025PiS3		41272	58	99.9%
B026PiS4		45804	83	99.8%
B027PiS5		54934	75	99.9%
B028PiW1		23169	69	99.7%
B029PiW2		50410	64	99.9%
B030PiW3		29132	42	99.9%
B031MyS1		45914	77	99.8%
B032MyS2		42519	80	99.8%
B033MyS3		61759	79	99.9%
B034MyW3		46956	62	99.9%
B035MyW4		11307	13	99.9%
B036MyW5		47672	42	99.9%
B037QS2		45514	74	99.8%
B038QS3		30066	40	99.9%
B039QS4		12816	17	99.9%
B040QW1		59151	85	99.9%
B041QW2		24918	50	99.8%
B042QW4		50514	95	99.8%
B043MeS2		50819	56	99.9%
B044MeS3		45900	56	99.9%
B045MeS5		34470	40	99.9%
B046MeW2		41170	68	99.8%
B047MeW3		40445	48	99.9%
B048MeW5		52637	69	99.9%
