Length	#Filtered	#AddFilter	#RawReads
35	0	0	10
36	0	0	5
37	0	0	280
38	0	0	6
39	0	0	19
40	0	0	21
41	0	0	21
42	0	0	30
43	0	0	44
44	0	0	50
45	0	0	62
46	0	0	89
47	0	0	73
48	0	0	201
49	0	0	25
50	0	0	11
51	0	0	5
52	0	0	10
53	0	0	7
54	0	0	4
55	0	0	35
56	0	0	8
57	0	0	5
58	0	0	9
59	0	0	11
60	0	0	6
61	0	0	8
62	0	0	13
63	0	0	10
64	0	0	8
65	0	0	16
66	0	0	9
67	0	0	15
68	0	0	8
69	0	0	12
70	0	0	13
71	0	0	13
72	0	0	14
73	0	0	20
74	0	0	12
75	0	0	22
76	0	0	14
77	0	0	19
78	0	0	13
79	0	0	14
80	0	15	15
81	0	20	20
82	0	24	24
83	0	19	19
84	0	93	93
85	0	1311	1311
86	0	16	16
87	0	21	21
88	0	22	22
89	0	10	10
90	16	0	16
91	45	0	45
92	23	0	23
93	21	0	21
94	11	0	11
95	20	0	20
96	12	0	12
97	13	0	13
98	24	0	24
99	11	0	11
100	18	0	18
101	17	0	17
102	16	0	16
103	18	0	18
104	17	0	17
105	28	0	28
106	16	0	16
107	27	0	27
108	22	0	22
109	98	0	98
110	16	0	16
111	19	0	19
112	15	0	15
113	25	0	25
114	26	0	26
115	22	0	22
116	73	0	73
117	31	0	31
118	30	0	30
119	16	0	16
120	23	0	23
121	30	0	30
122	32	0	32
123	12	0	12
124	26	0	26
125	29	0	29
126	33	0	33
127	65	0	65
128	51	0	51
129	70	0	70
130	45	0	45
131	57	0	57
132	41	0	41
133	96	0	96
134	51	0	51
135	39	0	39
136	36	0	36
137	21	0	21
138	49	0	49
139	75	0	75
140	32	0	32
141	48	0	48
142	57	0	57
143	51	0	51
144	69	0	69
145	84	0	84
146	84	0	84
147	55	0	55
148	36	0	36
149	101	0	101
150	53	0	53
151	53	0	53
152	63	0	63
153	52	0	52
154	63	0	63
155	64	0	64
156	92	0	92
157	67	0	67
158	115	0	115
159	54	0	54
160	43	0	43
161	54	0	54
162	137	0	137
163	121	0	121
164	59	0	59
165	58	0	58
166	93	0	93
167	74	0	74
168	69	0	69
169	63	0	63
170	58	0	58
171	137	0	137
172	90	0	90
173	124	0	124
174	72	0	72
175	74	0	74
176	103	0	103
177	72	0	72
178	79	0	79
179	69	0	69
180	333	0	333
181	276	0	276
182	63	0	63
183	75	0	75
184	86	0	86
185	96	0	96
186	81	0	81
187	69	0	69
188	106	0	106
189	96	0	96
190	109	0	109
191	78	0	78
192	98	0	98
193	121	0	121
194	80	0	80
195	129	0	129
196	70	0	70
197	105	0	105
198	78	0	78
199	174	0	174
200	110	0	110
201	88	0	88
202	111	0	111
203	121	0	121
204	93	0	93
205	89	0	89
206	85	0	85
207	102	0	102
208	93	0	93
209	106	0	106
210	84	0	84
211	91	0	91
212	78	0	78
213	76	0	76
214	258	0	258
215	163	0	163
216	102	0	102
217	130	0	130
218	297	0	297
219	2230	1	2231
220	88	0	88
221	163	0	163
222	106	0	106
223	58	1	59
224	89	0	89
225	72	0	72
226	106	0	106
227	163	0	163
228	96	0	96
229	130	0	130
230	113	0	113
231	94	0	94
232	179	0	179
233	72	0	72
234	74	0	74
235	126	0	126
236	103	0	103
237	90	0	90
238	112	0	112
239	100	0	100
240	219	0	219
241	111	0	111
242	123	0	123
243	48	0	48
244	34	0	34
245	0	0	0
246	133	0	133
247	378	0	378
248	12	0	12
249	369	0	369
250	330	0	330
251	685	0	685
252	1558	0	1560
253	19805	4	19827
254	3717	0	3718
255	2432	0	2437
256	1321	1	1325
257	4063	1	4071
258	910	0	910
259	3032	0	3035
260	190	0	190
261	270	0	270
262	239	0	239
263	112	0	112
264	296	0	297
265	417	1	418
266	906	0	906
267	906	0	907
268	1581	0	1583
269	4192	2	4195
270	32426	1	32448
271	38439	7	38483
272	49432	10	49485
273	484231	112	484751
274	9224	4	9237
275	4823	2	4831
276	11568	2	11581
277	48094	11	48147
278	2540	0	2543
279	7205	3	7218
280	3194	1	3197
281	1049	1	1051
282	595	0	595
283	539	0	539
284	3284	3	3290
285	8264	4	8274
286	283	0	283
287	490	0	490
288	217	0	217
289	1241	1	1244
290	370	0	372
291	840	0	841
292	1445	1	1447
293	1962	2	1965
294	3527	0	3528
295	1266	0	1267
296	1261	1	1263
297	1588	3	1594
298	8904	5	8916
299	5839	5	5849
300	13449	10	13479
301	17723	12	17753
302	75334	56	75466
303	1025586	720	1027399
304	40230	32	40307
305	35962	46	36043
306	2745	6	2753
307	916	0	916
308	877	2	880
309	339	0	339
310	415	1	416
311	232	0	232
312	375	0	375
313	294	0	294
314	276	1	277
315	424	0	424
316	69	1	71
317	71	1	72
318	75	1	76
319	85	1	86
320	219	2	222
321	414	0	414
322	610	3	613
323	378	3	381
324	1827	7	1835
325	197	4	201
326	241	1	242
327	597	1	601
328	3839	11	3854
329	223	0	226
330	313	0	313
331	420	5	425
332	37	0	37
333	50	1	51
334	128	1	130
335	58	2	60
336	69	0	69
337	148	0	149
338	1240	10	1251
339	356	1	357
340	100	2	102
341	178	0	178
342	156	1	157
343	1320	9	1331
344	2143	11	2158
345	98	1	99
346	81	4	85
347	59	1	60
348	155	2	157
349	194	1	195
350	48	1	49
351	47	2	49
352	136	0	136
353	92	1	93
354	682	5	688
355	92	1	93
356	428	3	431
357	415	2	419
358	62	2	64
359	75	2	78
360	320	3	323
361	294	1	295
362	85	2	87
363	138	1	139
364	80	0	80
365	97	4	102
366	420	2	422
367	171	3	174
368	140	2	143
369	1034	14	1049
370	372	7	379
371	212	9	221
372	300	5	306
373	87	1	88
374	76	0	77
375	457	4	462
376	50	1	51
377	149	4	153
378	616	9	625
379	235	2	237
380	30	0	30
381	62	0	62
382	35	0	35
383	142	5	147
384	48	0	48
385	118	1	119
386	704	4	708
387	49	0	49
388	60	2	62
389	66	2	68
390	77	1	78
391	290	1	291
392	53	1	54
393	86	5	91
394	170	6	176
395	28	0	28
396	45	1	46
397	125	1	126
398	188	3	192
399	113	2	115
400	168	1	169
401	52	0	52
402	52	1	53
403	49	1	50
404	211	2	213
405	48	0	49
406	27	1	28
407	54	1	55
408	28	2	30
409	33	0	33
410	27	1	28
411	53	0	53
412	47	4	51
413	44	2	46
414	105	1	106
415	259	10	270
416	434	8	442
417	34	2	36
418	57	1	59
419	347	6	353
420	57	1	58
421	38	0	38
422	34	4	38
423	162	2	165
424	38	0	38
425	389	3	393
426	124	2	127
427	100	3	103
428	82	1	83
429	51	0	51
430	28	0	28
431	56	0	56
432	53	0	53
433	391	6	397
434	31	0	31
435	38	2	40
436	29	0	29
437	44	1	45
438	52	2	54
439	37	0	37
440	28	1	29
441	39	0	39
442	44	4	48
443	38	4	42
444	46	1	47
445	36	2	38
446	15	0	15
447	58	1	59
448	15	1	16
449	86	3	89
450	36	1	37
451	20	0	20
452	21	0	21
453	44	0	44
454	30	2	32
455	52	1	53
456	44	0	44
457	27	2	29
458	50	0	50
459	361	9	371
460	30	1	32
461	56	2	58
462	56	3	59
463	68	1	69
464	63	2	66
465	128	4	133
466	271	11	282
467	733	21	760
468	6899	191	7112
469	938	31	971
470	139	2	141
471	145	4	149
472	50	2	52
473	40	0	40
474	25	1	26
475	92	1	93
476	54	1	55
477	230	12	242
478	406	30	437
479	27	4	31
480	35	2	37
481	84	2	86
482	35	0	35
483	26	1	27
484	67	2	70
485	12	2	14
486	14	0	14
487	9	4	13
488	6	2	8
489	11	5	16
490	19	5	25
