OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_8	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_7	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU_1	Bacteria	Chloroflexi	KD4-96	uncultured Anaerolineaceae bacterium	?	?	?
OTU_10	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_9	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_15	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Candidatus Uzinura	uncultured Bacteroidetes bacterium
OTU_12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Candidatus Uzinura	uncultured Bacteroidetes bacterium
OTU_13	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_18	Bacteria	Cyanobacteria	Chloroplast	?	?	?	?
OTU_16	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU_11	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	?
OTU_17	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU_14	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	?
OTU_21	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Asplenium nidus (bird's-nest fern)	?
OTU_25	Bacteria	Cyanobacteria	Chloroplast	uncultured phototrophic eukaryote	?	?	?
OTU_23	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Asplenium nidus (bird's-nest fern)	?
OTU_28	Bacteria	Cyanobacteria	Chloroplast	uncultured phototrophic eukaryote	?	?	?
OTU_22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	?
