SampleID	Barcode	ReadsAccepted	ReadsFailed	Passed%
F001DE1		11248	18	99.8%
F002DE2		12982	27	99.8%
F003DE3		13960	18	99.9%
F004DET1		15031	22	99.9%
F005DET2		64	0	100%
F006DET3		17424	31	99.8%
F007C1		11861	18	99.8%
F008C2		9607	10	99.9%
F009C3		10374	7	99.9%
F010CT1		13173	14	99.9%
F011CT2		15976	28	99.8%
F012CT3		12839	13	99.9%
F013DE4		14202	26	99.8%
F014DE5		13527	24	99.8%
F015DE6		12924	23	99.8%
F016DET4		12309	18	99.9%
F017DET5		14260	25	99.8%
F018DET6		12882	17	99.9%
F019C4		5283	5	99.9%
F020C5		13467	37	99.7%
F021C6		9727	12	99.9%
F022CT4		21873	23	99.9%
F023CT5		12680	15	99.9%
F024CT6		12751	20	99.8%
F025LS1		19303	25	99.9%
F026LS4		19540	17	99.9%
F027LS5		41823	52	99.9%
F028LW1		7787	12	99.8%
F029LW2		14786	27	99.8%
F030LW3		4944	7	99.9%
F031CiS1		22362	30	99.9%
F032CiS4		1744	3	99.8%
F033CiS5		17483	12	99.9%
F034CiW1		15438	23	99.9%
F035CiW2		18148	26	99.9%
F036CiW3		18838	23	99.9%
F037ArS3		21954	22	99.9%
F038ArS4		18600	33	99.8%
F039ArS5		19457	17	99.9%
F040ArW1		26149	24	99.9%
F041ArW2		17615	18	99.9%
F042ArW3		42442	59	99.9%
F043PhS3		19392	24	99.9%
F044PhS4		20724	24	99.9%
F045PhS5		21121	21	99.9%
F046PhW1		18124	27	99.9%
F047PhW2		9628	12	99.9%
F048PhW3		31669	38	99.9%
F049PiS3		21613	29	99.9%
F050PiS4		13940	20	99.9%
F051PiS5		22223	30	99.9%
F052PiW1		19692	22	99.9%
F053PiW2		20204	22	99.9%
F054PiW3		16307	32	99.8%
F055MyS1		17061	28	99.8%
F056MyS2		4	0	100%
F057MyS3		16529	21	99.9%
F058MyW3		17757	15	99.9%
F059MyW4		20391	27	99.9%
F060MyW5		18763	14	99.9%
F061QS2		19829	21	99.9%
F062QS3		19976	26	99.9%
F063QS4		18939	20	99.9%
F064QW1		18725	24	99.9%
F065QW2		19345	33	99.8%
F066QW4		20385	32	99.8%
F067MeS2		20169	30	99.9%
F068MeS3		20091	21	99.9%
F069MeS5		20001	21	99.9%
F070MeW2		16047	17	99.9%
F071MeW3		15108	15	99.9%
F072MeW5		17877	24	99.9%
