Length	#Filtered	#AddFilter	#RawReads
36	0	0	1
37	0	0	1
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	1
44	0	0	3
45	0	0	1
46	0	0	2
47	0	0	3
48	0	0	0
49	0	0	19
50	0	0	3
51	0	0	0
52	0	0	2
53	0	0	6
54	0	0	2
55	0	0	4
56	0	0	29
57	0	0	1
58	0	0	1
59	0	0	0
60	0	0	1
61	0	0	1
62	0	0	2
63	0	0	3
64	0	0	5
65	0	0	2
66	0	0	1
67	0	0	1
68	0	0	1
69	0	0	6
70	0	0	6
71	0	0	2
72	0	0	5
73	0	0	2
74	0	0	2
75	0	0	1
76	0	0	5
77	0	0	4
78	0	0	3
79	0	0	4
80	0	3	3
81	0	2	2
82	0	3	3
83	0	0	0
84	0	3	3
85	0	4	4
86	0	10	10
87	0	9	9
88	0	1	1
89	0	10	10
90	3	0	3
91	8	0	8
92	6	0	6
93	4	0	4
94	5	0	5
95	1	0	1
96	6	0	6
97	5	0	5
98	5	0	5
99	4	0	4
100	4	0	4
101	5	0	5
102	3	0	3
103	10	0	10
104	0	0	0
105	7	0	7
106	6	0	6
107	2	0	2
108	5	0	5
109	8	0	8
110	7	0	7
111	6	0	6
112	3	0	3
113	5	0	5
114	5	0	5
115	12	0	12
116	16	0	16
117	6	0	6
118	9	0	9
119	4	0	4
120	8	0	8
121	9	0	9
122	8	0	8
123	10	0	10
124	9	0	9
125	9	0	9
126	12	0	12
127	10	0	10
128	13	0	13
129	8	0	8
130	11	0	11
131	5	0	5
132	2	0	2
133	7	0	7
134	11	0	11
135	8	0	8
136	15	0	15
137	9	0	9
138	5	0	5
139	3	0	3
140	11	0	11
141	16	0	16
142	14	0	14
143	20	0	20
144	11	0	11
145	16	0	16
146	14	0	14
147	8	0	8
148	12	0	12
149	21	0	21
150	10	0	10
151	11	0	11
152	9	0	9
153	10	0	10
154	13	0	13
155	13	0	13
156	12	0	12
157	24	0	24
158	19	0	19
159	19	0	19
160	17	0	17
161	22	0	22
162	31	0	31
163	21	0	21
164	16	0	16
165	10	0	10
166	14	0	14
167	20	0	20
168	33	0	33
169	16	0	16
170	22	0	22
171	16	0	16
172	25	0	25
173	31	0	31
174	34	0	34
175	13	0	13
176	17	0	17
177	22	0	22
178	24	0	24
179	15	0	15
180	25	0	25
181	23	0	23
182	19	0	19
183	18	0	18
184	17	0	17
185	21	0	21
186	21	1	22
187	11	0	11
188	27	0	27
189	13	0	13
190	22	0	22
191	26	0	26
192	29	0	29
193	26	0	26
194	30	0	30
195	26	0	26
196	20	0	20
197	36	0	36
198	28	0	28
199	34	0	34
200	29	0	29
201	29	0	29
202	50	0	50
203	21	0	21
204	32	0	32
205	22	0	22
206	25	0	25
207	19	0	19
208	23	0	23
209	18	0	18
210	26	0	26
211	20	0	20
212	34	0	34
213	36	0	36
214	182	0	182
215	38	0	38
216	26	0	26
217	26	0	26
218	34	0	34
219	25	0	25
220	26	0	26
221	34	0	34
222	39	0	39
223	24	0	24
224	24	0	24
225	23	0	23
226	30	0	30
227	34	0	34
228	24	0	24
229	28	0	28
230	41	0	41
231	32	0	32
232	21	0	21
233	16	0	16
234	23	0	23
235	35	0	35
236	40	0	40
237	265	0	265
238	179	0	179
239	50	0	50
240	48	0	48
241	54	0	54
242	69	0	69
243	1403	0	1403
244	42	0	42
245	3	0	3
246	54	0	54
247	132	0	132
248	120	0	120
249	71	0	71
250	27	0	27
251	41	0	41
252	31	0	31
253	30	0	30
254	32	0	32
255	31	0	31
256	34	0	34
257	209	0	209
258	45	0	45
259	164	0	164
260	36	0	36
261	40	0	40
262	57	0	57
263	48	0	49
264	193	0	193
265	706	0	707
266	25	0	25
267	37	0	37
268	80	0	80
269	34	0	34
270	39	0	39
271	76	0	76
272	220	0	220
273	59	0	59
274	63	0	63
275	317	0	318
276	119	0	119
277	59	0	59
278	62	0	62
279	110	0	110
280	80	0	80
281	92	0	93
282	726	0	727
283	484	0	484
284	11804	3	11817
285	3523	0	3529
286	4587	0	4594
287	11385	2	11398
288	26748	8	26784
289	15617	6	15633
290	22111	7	22161
291	5151	2	5159
292	16317	7	16339
293	90315	41	90444
294	22098	13	22132
295	21013	5	21030
296	39608	17	39654
297	48897	16	48950
298	30643	12	30681
299	59636	30	59714
300	22300	16	22328
301	23284	7	23311
302	9015	9	9032
303	23867	14	23906
304	11572	8	11593
305	267638	195	268164
306	9489	6	9509
307	7293	5	7308
308	6406	5	6415
309	19750	18	19790
310	20781	26	20838
311	1382	3	1385
312	2784	2	2788
313	10216	14	10243
314	15002	16	15030
315	7850	4	7863
316	10609	10	10634
317	2813	2	2817
318	10433	7	10460
319	2809	2	2815
320	683	1	685
321	623	2	625
322	426	0	427
323	1209	1	1210
324	3504	5	3515
325	913	1	915
326	1320	1	1321
327	4318	6	4326
328	2238	6	2246
329	1694	4	1700
330	577	0	578
331	1005	1	1007
332	2735	5	2744
333	756	1	759
334	1498	2	1500
335	8404	23	8443
336	3990	9	4005
337	12372	48	12441
338	1109	5	1116
339	1042	5	1049
340	2790	14	2808
341	1444	3	1453
342	6156	13	6176
343	4281	23	4309
344	5429	14	5447
345	5625	37	5673
346	4508	17	4533
347	1919	10	1932
348	2559	8	2570
349	3596	15	3615
350	1582	7	1591
351	4244	16	4270
352	1270	2	1277
353	994	6	1002
354	2631	11	2647
355	3434	14	3450
356	2938	17	2962
357	1647	14	1663
358	550	3	554
359	3129	27	3158
360	821	5	828
361	1228	9	1239
362	1878	10	1891
363	2070	8	2081
364	4029	22	4059
365	5005	41	5052
366	3111	18	3135
367	2170	8	2183
368	5341	38	5389
369	630	7	638
370	11266	116	11404
371	1361	4	1370
372	787	5	795
373	18031	99	18158
374	879	7	888
375	3740	20	3770
376	500	1	501
377	2946	31	2978
378	49389	455	49947
379	2679	33	2718
380	305	3	309
381	2423	22	2450
382	808	7	816
383	1977	28	2011
384	3529	24	3560
385	654	6	661
386	1011	11	1023
387	2470	24	2501
388	631	12	644
389	799	9	808
390	496	3	501
391	1810	26	1838
392	946	11	958
393	927	5	933
394	2839	42	2886
395	677	0	679
396	767	11	781
397	1331	21	1353
398	205	3	208
399	182	2	184
400	8659	96	8766
401	330	2	333
402	1087	11	1102
403	59	1	60
404	642	7	650
405	399	5	404
406	786	8	795
407	388	7	397
408	294	6	300
409	60	0	60
410	48	0	48
411	223	4	228
412	428	7	438
413	122	2	124
414	237	2	240
415	80	2	82
416	51	0	51
417	45	1	47
418	193	3	197
419	7321	86	7417
420	156	3	159
421	33	0	33
422	865	16	884
423	1369	15	1389
424	255	6	261
425	546	13	560
426	307	5	312
427	92	3	96
428	64	0	64
429	179	4	183
430	33	0	33
431	133	2	135
432	53	0	53
433	187	4	193
434	35	1	36
435	86	0	86
436	68	4	72
437	145	6	152
438	49	1	50
439	80	2	83
440	29	2	31
441	12	1	13
442	10	1	11
443	16	0	16
444	17	0	17
445	17	1	18
446	71	0	72
447	44	0	44
448	61	1	62
449	23	1	24
450	40	0	40
451	16	0	16
452	34	0	34
453	11	0	11
454	36	2	38
455	34	3	37
456	62	1	63
457	47	1	48
458	2	0	2
459	4	0	4
460	5	1	6
461	10	0	10
462	1	1	2
463	2	0	2
464	3	0	3
465	6	0	6
466	1	0	1
467	21	1	23
468	1	0	1
469	40	0	41
470	2	0	2
471	1	1	2
472	13	0	13
473	2	0	2
474	0	0	0
475	2	0	2
476	1	0	1
477	8	0	8
478	1	1	2
479	36	1	37
480	1	0	1
481	4	2	6
482	2	0	2
483	5	0	5
484	0	0	0
485	3	0	3
486	3	5	8
487	2	0	2
488	18	2	20
489	61	1	62
490	4	0	4
