OTU	F001DE1	F002DE2	F003DE3	F004DET1	F005DET2	F006DET3	F007C1	F008C2	F009C3	F010CT1	F011CT2	F012CT3	F013DE4	F014DE5	F015DE6	F016DET4	F017DET5	F018DET6	F019C4	F020C5	F021C6	F022CT4	F023CT5	F024CT6	F025LS1	F026LS4	F027LS5	F028LW1	F029LW2	F030LW3	F031CiS1	F032CiS4	F033CiS5	F034CiW1	F035CiW2	F036CiW3	F037ArS3	F038ArS4	F039ArS5	F040ArW1	F041ArW2	F042ArW3	F043PhS3	F044PhS4	F045PhS5	F046PhW1	F047PhW2	F048PhW3	F049PiS3	F050PiS4	F051PiS5	F052PiW1	F053PiW2	F054PiW3	F055MyS1	F056MyS2	F057MyS3	F058MyW3	F059MyW4	F060MyW5	F061QS2	F062QS3	F063QS4	F064QW1	F065QW2	F066QW4	F067MeS2	F068MeS3	F069MeS5	F070MeW2	F071MeW3	F072MeW5
OTU_1	217	3	2	0	0	3	13	29	0	32	2614	0	0	6	0	2	3	6	0	1597	665	4	2	0	5632	6766	17591	0	1518	0	4709	242	2232	0	0	0	4706	3487	5441	0	0	2	4543	4271	5264	2	28	0	5084	3989	4178	0	4031	0	7010	0	4698	0	11	143	5195	6473	7730	0	26	0	4926	6236	4782	0	401	0
OTU_2	253	0	1	6	0	9	9	26	2	26	2387	2	5	5	1	9	7	3	1	1506	682	6	4	3	5832	6843	17832	0	1417	1	4594	235	2351	0	4	0	4617	3682	5189	25	3	39	4553	4385	5359	1	16	21	4711	4016	4411	43	4162	10	7115	0	4398	33	7	156	4686	6213	6989	28	35	2	4601	6538	4847	3	331	2
OTU_3	42	50	34	208	0	134	162	97	19	37	441	205	9	20	25	16	2	0	28	164	96	82	10	0	613	411	323	300	671	121	730	87	754	172	184	241	1276	1278	1181	2407	833	3369	763	742	1048	924	580	1534	605	276	492	588	692	471	236	0	408	363	668	476	841	268	177	521	735	475	564	571	635	291	376	853
OTU_4	41	33	38	196	0	103	138	81	24	38	401	194	1	25	14	20	3	3	31	132	74	84	23	1	672	426	314	290	573	98	724	92	781	142	174	247	1351	1312	1193	2332	804	3480	696	745	948	973	531	1579	647	284	465	562	670	484	290	0	401	395	603	450	765	271	153	493	763	441	549	530	615	250	391	784
OTU_5	670	2616	1517	2538	0	1420	36	0	0	0	0	0	3135	3364	1340	1768	605	1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6	596	2410	1506	2330	1	1369	0	0	0	0	0	0	2909	3209	1306	1714	690	1746	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_7	7	4	3	1	0	0	39	14	0	0	175	0	0	0	0	0	0	1	0	71	28	0	0	0	338	103	293	307	246	508	659	106	509	67	56	350	1317	855	462	427	333	709	871	231	413	231	104	1220	110	831	165	275	91	190	31	0	525	250	335	312	459	325	209	134	284	70	109	119	194	92	155	237
OTU_8	13	4	3	1	0	0	32	29	1	0	153	0	2	0	0	0	1	0	0	44	37	0	0	0	344	79	303	336	250	446	693	107	394	92	79	375	1248	918	500	390	316	768	865	275	494	223	84	1210	125	762	182	284	119	209	40	0	471	249	322	261	391	321	210	133	261	75	119	136	214	75	145	229
OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	59	33	36	656	220	307	1352	66	1267	623	1511	2147	8	2	2	15	0	9	0	2	7	0	0	30	7	8	0	14	4	9	0	0	1	8	7	12	1	17	0	20	0	304	17	8	6	137	133	0
OTU_10	198	165	424	799	2	1695	0	0	0	22	15	0	296	548	1062	485	941	458	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	3	4	0	0	0	1	0	0	0	1	0	0	0	0	3
OTU_11	2	338	20	59	0	36	28	20	22	70	40	17	252	14	19	17	25	51	0	6	21	22	5	3	499	234	276	157	211	78	205	41	165	95	56	100	221	540	115	180	65	71	46	102	64	113	1	80	56	140	64	73	63	46	42	0	98	109	114	60	97	126	76	32	61	98	100	159	218	106	139	116
