OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_5	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	Minimedusa_polyspora
OTU_6	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	Minimedusa_polyspora
OTU_1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	unidentified
OTU_4	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_3	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_7	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_8	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OTU_2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	unidentified
OTU_10	Fungi	Ascomycota	Sordariomycetes	Xylariales	unidentified	unidentified	?
OTU_13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	unidentified
OTU_11	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_alternata
OTU_14	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	unidentified
OTU_9	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	?
OTU_12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_alternata
OTU_16	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_15	Fungi	Ascomycota	Sordariomycetes	Xylariales	unidentified	unidentified	?
OTU_19	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	Minimedusa_polyspora
OTU_20	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_cinerea
OTU_22	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_cinerea
OTU_23	unidentified	unidentified	unidentified	unidentified	?	?	?
OTU_17	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	unidentified	unidentified
OTU_21	Viridiplantae	Anthophyta	Eudicotyledonae	Lamiales	Lamiaceae	Melissa	Melissa_officinalis
OTU_18	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	unidentified	unidentified
OTU_24	Fungi	Ascomycota	Dothideomycetes	Venturiales	unidentified	unidentified	unidentified
OTU_25	Fungi	Ascomycota	Dothideomycetes	Capnodiales	?	?	?
OTU_26	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium_velox
OTU_27	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified
OTU_29	Fungi	Ascomycota	Dothideomycetes	Venturiales	unidentified	unidentified	unidentified
OTU_28	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium_velox
OTU_30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dichotomophthora	Dichotomophthora_lutea
OTU_31	Fungi	unidentified	unidentified	unidentified	?	?	?
