	planttreat	plant	season	Type_plant	Aromatic	type_canopy	sample2
L._stoechas_Summer_a	L._stoechas_Summer	L._stoechas	Summer	drought_semideciduous 	Aromatic	Low_canopy	Levander_Summer_a
L._stoechas_Summer_b	L._stoechas_Summer	L._stoechas	Summer	drought_semideciduous 	Aromatic	Low_canopy	Levander_Summer_b
L._stoechas_Summer_c	L._stoechas_Summer	L._stoechas	Summer	drought_semideciduous 	Aromatic	Low_canopy	Levander_Summer_c
L._stoechas_Winter_a	L._stoechas_Winter	L._stoechas	Winter	drought_semideciduous 	Aromatic	Low_canopy	Levander_Winter_a
L._stoechas_Winter_b	L._stoechas_Winter	L._stoechas	Winter	drought_semideciduous 	Aromatic	Low_canopy	Levander_Winter_b
L._stoechas_Winter_c	L._stoechas_Winter	L._stoechas	Winter	drought_semideciduous 	Aromatic	Low_canopy	Levander_Winter_c
C._incanus_Summer_a	C._incanus_Summer	C._incanus	Summer	drought_semideciduous 	Non_aromatic	Low_canopy	Cistus_Summer_a
C._incanus_Summer_b	C._incanus_Summer	C._incanus	Summer	drought_semideciduous 	Non_aromatic	Low_canopy	Cistus_Summer_b
C._incanus_Summer_c	C._incanus_Summer	C._incanus	Summer	drought_semideciduous 	Non_aromatic	Low_canopy	Cistus_Summer_c
C._incanus_Winter_a	C._incanus_Winter	C._incanus	Winter	drought_semideciduous 	Non_aromatic	Low_canopy	Cistus_Winter_a
C._incanus_Winter_b	C._incanus_Winter	C._incanus	Winter	drought_semideciduous 	Non_aromatic	Low_canopy	Cistus_Winter_b
C._incanus_Winter_c	C._incanus_Winter	C._incanus	Winter	drought_semideciduous 	Non_aromatic	Low_canopy	Cistus_Winter_c
A._unedo_Summer_a	A._unedo_Summer	A._unedo	Summer	evergreen	Non_aromatic	High_canopy	Arbutus_Summer_a
A._unedo_Summer_b	A._unedo_Summer	A._unedo	Summer	evergreen	Non_aromatic	High_canopy	Arbutus_Summer_b
A._unedo_Summer_c	A._unedo_Summer	A._unedo	Summer	evergreen	Non_aromatic	High_canopy	Arbutus_Summer_c
A._unedo_Winter_a	A._unedo_Winter	A._unedo	Winter	evergreen	Non_aromatic	High_canopy	Arbutus_Winter_a
A._unedo_Winter_b	A._unedo_Winter	A._unedo	Winter	evergreen	Non_aromatic	High_canopy	Arbutus_Winter_b
A._unedo_Winter_c	A._unedo_Winter	A._unedo	Winter	evergreen	Non_aromatic	High_canopy	Arbutus_Winter_c
P._latifolia_Summer_a	P._latifolia_Summer	P._latifolia	Summer	evergreen	Non_aromatic	High_canopy	Phillyrea_Summer_a
P._latifolia_Summer_b	P._latifolia_Summer	P._latifolia	Summer	evergreen	Non_aromatic	High_canopy	Phillyrea_Summer_b
P._latifolia_Summer_c	P._latifolia_Summer	P._latifolia	Summer	evergreen	Non_aromatic	High_canopy	Phillyrea_Summer_c
