Samples	Type_plant_season	Aromatic_season	Plant	Season	planttreat	Type_plant	Aromatic	T.Fungi	T.Bacteria	Crenarchaea	Cladosporium	Alternaria
Summer_Pistacia_3	Higher_canopy_Summer	No_aromatic_Summer	P._lentiscus	Summer	P._lentiscus_Summer	Higher_canopy	No_aromatic	3.90E+06	3.06E+07	5.11E+03	3.05E+04	1.05E+04
Summer_Pistacia_4	Higher_canopy_Summer	No_aromatic_Summer	P._lentiscus	Summer	P._lentiscus_Summer	Higher_canopy	No_aromatic	4.96E+06	8.80E+07	4.40E+03	4.63E+04	3.80E+04
Summer_Pistacia_5	Higher_canopy_Summer	No_aromatic_Summer	P._lentiscus	Summer	P._lentiscus_Summer	Higher_canopy	No_aromatic	5.25E+06	3.71E+07	4.66E+03	5.76E+04	7.35E+03
Summer_ Lavender_1	Lower_canopy_Summer	Aromatic_Summer	L._stoechas	Summer	L._stoechas_Summer	Lower_canopy	Aromatic	3.24E+06	7.57E+07	6.43E+03	3.50E+04	2.04E+03
Summer_Lavender_4	Lower_canopy_Summer	Aromatic_Summer	L._stoechas	Summer	L._stoechas_Summer	Lower_canopy	Aromatic	1.03E+07	6.72E+07	1.37E+05	3.42E+05	9.89E+03
Summer_Lavender_5	Lower_canopy_Summer	Aromatic_Summer	L._stoechas	Summer	L._stoechas_Summer	Lower_canopy	Aromatic	9.13E+06	2.69E+08	3.06E+03	5.42E+03	5.85E+03
Summer_Quercus_4	Higher_canopy_Summer	No_aromatic_Summer	Q._coccifera	Summer	Q._coccifera_Summer	Higher_canopy	No_aromatic	2.89E+07	3.93E+08	1.26E+04	8.31E+04	6.61E+04
Summer_Quercus_2	Higher_canopy_Summer	No_aromatic_Summer	Q._coccifera	Summer	Q._coccifera_Summer	Higher_canopy	No_aromatic	1.48E+07	2.58E+08	5.50E+03	8.63E+04	2.97E+04
Summer_Quercus_3	Higher_canopy_Summer	No_aromatic_Summer	Q._coccifera	Summer	Q._coccifera_Summer	Higher_canopy	No_aromatic	9.37E+06	1.89E+08	1.18E+04	1.52E+05	2.53E+04
Summer_Phillirea_3	Higher_canopy_Summer	No_aromatic_Summer	P._latifolia	Summer	P._latifolia_Summer	Higher_canopy	No_aromatic	1.22E+07	5.91E+07	5.00E+03	1.29E+05	3.30E+03
